pokemon_name,move_name,learn_method,level,version_group
Venusaur,Petal Dance,egg,0,scarlet-violet
Venusaur,Earthquake,machine,0,scarlet-violet
Venusaur,Toxic,egg,0,scarlet-violet
Venusaur,Toxic,machine,0,scarlet-violet
Venusaur,Amnesia,machine,0,scarlet-violet
Venusaur,Rest,machine,0,scarlet-violet
Venusaur,Substitute,machine,0,scarlet-violet
Venusaur,Curse,egg,0,scarlet-violet
Venusaur,Curse,machine,0,scarlet-violet
Venusaur,Protect,machine,0,scarlet-violet
Venusaur,Scary Face,machine,0,scarlet-violet
Venusaur,Sludge Bomb,machine,0,scarlet-violet
Venusaur,Giga Drain,machine,0,scarlet-violet
Venusaur,Endure,machine,0,scarlet-violet
Venusaur,Charm,machine,0,scarlet-violet
Venusaur,False Swipe,machine,0,scarlet-violet
Venusaur,Sleep Talk,machine,0,scarlet-violet
Venusaur,Sweet Scent,level-up,30,scarlet-violet
Venusaur,Synthesis,level-up,37,scarlet-violet
Venusaur,Sunny Day,machine,0,scarlet-violet
Venusaur,Facade,machine,0,scarlet-violet
Venusaur,Helping Hand,machine,0,scarlet-violet
Venusaur,Ingrain,egg,0,scarlet-violet
Venusaur,Knock Off,machine,0,scarlet-violet
Venusaur,Weather Ball,machine,0,scarlet-violet
Venusaur,Bullet Seed,machine,0,scarlet-violet
Venusaur,Frenzy Plant,machine,0,scarlet-violet
Venusaur,Magical Leaf,machine,0,scarlet-violet
Venusaur,Worry Seed,level-up,44,scarlet-violet
Venusaur,Poison Jab,machine,0,scarlet-violet
Venusaur,Seed Bomb,level-up,20,scarlet-violet
Venusaur,Seed Bomb,machine,0,scarlet-violet
Venusaur,Energy Ball,machine,0,scarlet-violet
Venusaur,Earth Power,machine,0,scarlet-violet
Venusaur,Giga Impact,machine,0,scarlet-violet
Venusaur,Leaf Storm,machine,0,scarlet-violet
Venusaur,Power Whip,level-up,51,scarlet-violet
Venusaur,Grass Knot,machine,0,scarlet-violet
Venusaur,Venoshock,machine,0,scarlet-violet
Venusaur,Acid Spray,machine,0,scarlet-violet
Venusaur,Grass Pledge,machine,0,scarlet-violet
Venusaur,Bulldoze,machine,0,scarlet-violet
Venusaur,Petal Blizzard,level-up,0,scarlet-violet
Venusaur,Petal Blizzard,machine,0,scarlet-violet
Venusaur,Grassy Terrain,machine,0,scarlet-violet
Venusaur,Stomping Tantrum,machine,0,scarlet-violet
Venusaur,Grassy Glide,machine,0,scarlet-violet
Venusaur,Tera Blast,machine,0,scarlet-violet
Venusaur,Trailblaze,machine,0,scarlet-violet
Mega Venusaur,Swords Dance,machine,0,ultra-sun-ultra-moon
Mega Venusaur,Bind,tutor,0,ultra-sun-ultra-moon
Mega Venusaur,Vine Whip,level-up,1,ultra-sun-ultra-moon
Mega Venusaur,Tackle,level-up,1,ultra-sun-ultra-moon
Mega Venusaur,Take Down,level-up,15,ultra-sun-ultra-moon
Mega Venusaur,Double Edge,level-up,31,ultra-sun-ultra-moon
Mega Venusaur,Growl,level-up,1,ultra-sun-ultra-moon
Mega Venusaur,Roar,machine,0,ultra-sun-ultra-moon
Mega Venusaur,Hyper Beam,machine,0,ultra-sun-ultra-moon
Mega Venusaur,Leech Seed,level-up,1,ultra-sun-ultra-moon
Mega Venusaur,Growth,level-up,28,ultra-sun-ultra-moon
Mega Venusaur,Razor Leaf,level-up,20,ultra-sun-ultra-moon
Mega Venusaur,Solar Beam,level-up,53,ultra-sun-ultra-moon
Mega Venusaur,Solar Beam,machine,0,ultra-sun-ultra-moon
Mega Venusaur,Poison Powder,level-up,13,ultra-sun-ultra-moon
Mega Venusaur,Sleep Powder,level-up,13,ultra-sun-ultra-moon
Mega Venusaur,Petal Dance,level-up,0,ultra-sun-ultra-moon
Mega Venusaur,Earthquake,machine,0,ultra-sun-ultra-moon
Mega Venusaur,Toxic,machine,0,ultra-sun-ultra-moon
Mega Venusaur,Double Team,machine,0,ultra-sun-ultra-moon
Mega Venusaur,Light Screen,machine,0,ultra-sun-ultra-moon
Mega Venusaur,Rest,machine,0,ultra-sun-ultra-moon
Mega Venusaur,Substitute,machine,0,ultra-sun-ultra-moon
Mega Venusaur,Snore,tutor,0,ultra-sun-ultra-moon
Mega Venusaur,Protect,machine,0,ultra-sun-ultra-moon
Mega Venusaur,Sludge Bomb,machine,0,ultra-sun-ultra-moon
Mega Venusaur,Outrage,tutor,0,ultra-sun-ultra-moon
Mega Venusaur,Giga Drain,tutor,0,ultra-sun-ultra-moon
Mega Venusaur,Swagger,machine,0,ultra-sun-ultra-moon
Mega Venusaur,Attract,machine,0,ultra-sun-ultra-moon
Mega Venusaur,Sleep Talk,machine,0,ultra-sun-ultra-moon
Mega Venusaur,Return,machine,0,ultra-sun-ultra-moon
Mega Venusaur,Frustration,machine,0,ultra-sun-ultra-moon
Mega Venusaur,Safeguard,machine,0,ultra-sun-ultra-moon
Mega Venusaur,Sweet Scent,level-up,23,ultra-sun-ultra-moon
Mega Venusaur,Synthesis,level-up,45,ultra-sun-ultra-moon
Mega Venusaur,Synthesis,tutor,0,ultra-sun-ultra-moon
Mega Venusaur,Hidden Power,machine,0,ultra-sun-ultra-moon
Mega Venusaur,Sunny Day,machine,0,ultra-sun-ultra-moon
Mega Venusaur,Facade,machine,0,ultra-sun-ultra-moon
Mega Venusaur,Nature Power,machine,0,ultra-sun-ultra-moon
Mega Venusaur,Knock Off,tutor,0,ultra-sun-ultra-moon
Mega Venusaur,Block,tutor,0,ultra-sun-ultra-moon
Mega Venusaur,Frenzy Plant,tutor,0,ultra-sun-ultra-moon
Mega Venusaur,Worry Seed,level-up,39,ultra-sun-ultra-moon
Mega Venusaur,Worry Seed,tutor,0,ultra-sun-ultra-moon
Mega Venusaur,Seed Bomb,tutor,0,ultra-sun-ultra-moon
Mega Venusaur,Energy Ball,machine,0,ultra-sun-ultra-moon
Mega Venusaur,Giga Impact,machine,0,ultra-sun-ultra-moon
Mega Venusaur,Grass Knot,machine,0,ultra-sun-ultra-moon
Mega Venusaur,Venoshock,machine,0,ultra-sun-ultra-moon
Mega Venusaur,Round,machine,0,ultra-sun-ultra-moon
Mega Venusaur,Echoed Voice,machine,0,ultra-sun-ultra-moon
Mega Venusaur,Grass Pledge,tutor,0,ultra-sun-ultra-moon
Mega Venusaur,Bulldoze,machine,0,ultra-sun-ultra-moon
Mega Venusaur,Work Up,machine,0,ultra-sun-ultra-moon
Mega Venusaur,Petal Blizzard,level-up,50,ultra-sun-ultra-moon
Mega Venusaur,Confide,machine,0,ultra-sun-ultra-moon
Mega Venusaur,Stomping Tantrum,tutor,0,ultra-sun-ultra-moon
Charmander,Fire Punch,machine,0,scarlet-violet
Charmander,Thunder Punch,machine,0,scarlet-violet
Charmander,Scratch,level-up,1,scarlet-violet
Charmander,Swords Dance,machine,0,scarlet-violet
Charmander,Body Slam,machine,0,scarlet-violet
Charmander,Take Down,machine,0,scarlet-violet
Charmander,Bite,egg,0,scarlet-violet
Charmander,Growl,level-up,1,scarlet-violet
Charmander,Roar,machine,0,scarlet-violet
Charmander,Ember,level-up,4,scarlet-violet
Charmander,Flamethrower,level-up,24,scarlet-violet
Charmander,Flamethrower,machine,0,scarlet-violet
Charmander,Counter,egg,0,scarlet-violet
Charmander,Fire Spin,level-up,32,scarlet-violet
Charmander,Fire Spin,machine,0,scarlet-violet
Charmander,Dig,machine,0,scarlet-violet
Charmander,Smokescreen,level-up,8,scarlet-violet
Charmander,Fire Blast,machine,0,scarlet-violet
Charmander,Swift,machine,0,scarlet-violet
Charmander,Rest,machine,0,scarlet-violet
Charmander,Rock Slide,machine,0,scarlet-violet
Charmander,Slash,level-up,20,scarlet-violet
Charmander,Substitute,machine,0,scarlet-violet
Charmander,Protect,machine,0,scarlet-violet
Charmander,Scary Face,level-up,28,scarlet-violet
Charmander,Scary Face,machine,0,scarlet-violet
Charmander,Belly Drum,egg,0,scarlet-violet
Charmander,Outrage,machine,0,scarlet-violet
Charmander,Endure,machine,0,scarlet-violet
Charmander,False Swipe,machine,0,scarlet-violet
Charmander,Sleep Talk,machine,0,scarlet-violet
Charmander,Dragon Breath,level-up,12,scarlet-violet
Charmander,Iron Tail,egg,0,scarlet-violet
Charmander,Metal Claw,egg,0,scarlet-violet
Charmander,Metal Claw,machine,0,scarlet-violet
Charmander,Sunny Day,machine,0,scarlet-violet
Charmander,Crunch,machine,0,scarlet-violet
Charmander,Ancient Power,egg,0,scarlet-violet
Charmander,Heat Wave,machine,0,scarlet-violet
Charmander,Will O Wisp,machine,0,scarlet-violet
Charmander,Facade,machine,0,scarlet-violet
Charmander,Focus Punch,machine,0,scarlet-violet
Charmander,Helping Hand,machine,0,scarlet-violet
Charmander,Brick Break,machine,0,scarlet-violet
Charmander,Weather Ball,machine,0,scarlet-violet
Charmander,Overheat,machine,0,scarlet-violet
Charmander,Rock Tomb,machine,0,scarlet-violet
Charmander,Dragon Claw,machine,0,scarlet-violet
Charmander,Dragon Dance,machine,0,scarlet-violet
Charmander,Fling,machine,0,scarlet-violet
Charmander,Flare Blitz,level-up,40,scarlet-violet
Charmander,Flare Blitz,machine,0,scarlet-violet
Charmander,Dragon Pulse,machine,0,scarlet-violet
Charmander,Dragon Rush,egg,0,scarlet-violet
Charmander,Focus Blast,machine,0,scarlet-violet
Charmander,Shadow Claw,machine,0,scarlet-violet
Charmander,Fire Fang,level-up,17,scarlet-violet
Charmander,Fire Fang,machine,0,scarlet-violet
Charmander,Flame Charge,machine,0,scarlet-violet
Charmander,Inferno,level-up,36,scarlet-violet
Charmander,Fire Pledge,machine,0,scarlet-violet
Charmander,Dragon Tail,egg,0,scarlet-violet
Charmander,Dragon Tail,machine,0,scarlet-violet
Charmander,Breaking Swipe,machine,0,scarlet-violet
Charmander,Tera Blast,machine,0,scarlet-violet
Charmander,Temper Flare,machine,0,scarlet-violet
Charmeleon,Fire Punch,machine,0,scarlet-violet
Charmeleon,Thunder Punch,machine,0,scarlet-violet
Charmeleon,Scratch,level-up,1,scarlet-violet
Charmeleon,Swords Dance,machine,0,scarlet-violet
Charmeleon,Body Slam,machine,0,scarlet-violet
Charmeleon,Take Down,machine,0,scarlet-violet
Charmeleon,Bite,egg,0,scarlet-violet
Charmeleon,Growl,level-up,1,scarlet-violet
Charmeleon,Roar,machine,0,scarlet-violet
Charmeleon,Ember,level-up,1,scarlet-violet
Charmeleon,Flamethrower,level-up,30,scarlet-violet
Charmeleon,Flamethrower,machine,0,scarlet-violet
Charmeleon,Counter,egg,0,scarlet-violet
Charmeleon,Fire Spin,machine,0,scarlet-violet
Charmeleon,Dig,machine,0,scarlet-violet
Charmeleon,Smokescreen,level-up,1,scarlet-violet
Charmeleon,Fire Blast,machine,0,scarlet-violet
Charmeleon,Swift,machine,0,scarlet-violet
Charmeleon,Rest,machine,0,scarlet-violet
Charmeleon,Rock Slide,machine,0,scarlet-violet
Charmeleon,Slash,level-up,24,scarlet-violet
Charmeleon,Substitute,machine,0,scarlet-violet
Charmeleon,Protect,machine,0,scarlet-violet
Charmeleon,Scary Face,level-up,37,scarlet-violet
Charmeleon,Scary Face,machine,0,scarlet-violet
Charmeleon,Belly Drum,egg,0,scarlet-violet
Charmeleon,Outrage,machine,0,scarlet-violet
Charmeleon,Endure,machine,0,scarlet-violet
Charmeleon,False Swipe,machine,0,scarlet-violet
Charmeleon,Sleep Talk,machine,0,scarlet-violet
Charmeleon,Dragon Breath,level-up,12,scarlet-violet
Charmeleon,Iron Tail,egg,0,scarlet-violet
Charmeleon,Metal Claw,egg,0,scarlet-violet
Charmeleon,Sunny Day,machine,0,scarlet-violet
Charmeleon,Crunch,machine,0,scarlet-violet
Charmeleon,Ancient Power,egg,0,scarlet-violet
Charmeleon,Heat Wave,machine,0,scarlet-violet
Charmeleon,Will O Wisp,machine,0,scarlet-violet
Charmeleon,Facade,machine,0,scarlet-violet
Charmeleon,Focus Punch,machine,0,scarlet-violet
Charmeleon,Helping Hand,machine,0,scarlet-violet
Charmeleon,Brick Break,machine,0,scarlet-violet
Charmeleon,Weather Ball,machine,0,scarlet-violet
Charmeleon,Overheat,machine,0,scarlet-violet
Charmeleon,Rock Tomb,machine,0,scarlet-violet
Charmeleon,Dragon Claw,machine,0,scarlet-violet
Charmeleon,Dragon Dance,machine,0,scarlet-violet
Charmeleon,Fling,machine,0,scarlet-violet
Charmeleon,Flare Blitz,level-up,54,scarlet-violet
Charmeleon,Flare Blitz,machine,0,scarlet-violet
Charmeleon,Dragon Pulse,machine,0,scarlet-violet
Charmeleon,Dragon Rush,egg,0,scarlet-violet
Charmeleon,Focus Blast,machine,0,scarlet-violet
Charmeleon,Shadow Claw,machine,0,scarlet-violet
Charmeleon,Fire Fang,level-up,19,scarlet-violet
Charmeleon,Fire Fang,machine,0,scarlet-violet
Charmeleon,Flame Charge,machine,0,scarlet-violet
Charmeleon,Inferno,level-up,48,scarlet-violet
Charmeleon,Fire Pledge,machine,0,scarlet-violet
Charmeleon,Dragon Tail,egg,0,scarlet-violet
Charmeleon,Dragon Tail,machine,0,scarlet-violet
Charmeleon,Breaking Swipe,machine,0,scarlet-violet
Charmeleon,Tera Blast,machine,0,scarlet-violet
Charmeleon,Temper Flare,machine,0,scarlet-violet
Charizard,Fire Punch,machine,0,scarlet-violet
Charizard,Thunder Punch,machine,0,scarlet-violet
Charizard,Scratch,level-up,1,scarlet-violet
Charizard,Swords Dance,machine,0,scarlet-violet
Charizard,Fly,machine,0,scarlet-violet
Charizard,Body Slam,machine,0,scarlet-violet
Charizard,Take Down,machine,0,scarlet-violet
Charizard,Double Edge,machine,0,scarlet-violet
Charizard,Bite,egg,0,scarlet-violet
Charizard,Growl,level-up,1,scarlet-violet
Charizard,Roar,machine,0,scarlet-violet
Charizard,Ember,level-up,1,scarlet-violet
Charizard,Flamethrower,level-up,30,scarlet-violet
Charizard,Flamethrower,machine,0,scarlet-violet
Charizard,Hyper Beam,machine,0,scarlet-violet
Charizard,Counter,egg,0,scarlet-violet
Charizard,Solar Beam,machine,0,scarlet-violet
Charizard,Fire Spin,level-up,46,scarlet-violet
Charizard,Fire Spin,machine,0,scarlet-violet
Charizard,Earthquake,machine,0,scarlet-violet
Charizard,Dig,machine,0,scarlet-violet
Charizard,Smokescreen,level-up,1,scarlet-violet
Charizard,Fire Blast,machine,0,scarlet-violet
Charizard,Swift,machine,0,scarlet-violet
Charizard,Rest,machine,0,scarlet-violet
Charizard,Rock Slide,machine,0,scarlet-violet
Charizard,Slash,level-up,24,scarlet-violet
Charizard,Substitute,machine,0,scarlet-violet
Charizard,Protect,machine,0,scarlet-violet
Charizard,Scary Face,level-up,39,scarlet-violet
Charizard,Scary Face,machine,0,scarlet-violet
Charizard,Belly Drum,egg,0,scarlet-violet
Charizard,Outrage,machine,0,scarlet-violet
Charizard,Sandstorm,machine,0,scarlet-violet
Charizard,Endure,machine,0,scarlet-violet
Charizard,Sleep Talk,machine,0,scarlet-violet
Charizard,Dragon Breath,level-up,12,scarlet-violet
Charizard,Iron Tail,egg,0,scarlet-violet
Charizard,Metal Claw,egg,0,scarlet-violet
Charizard,Sunny Day,machine,0,scarlet-violet
Charizard,Crunch,machine,0,scarlet-violet
Charizard,Ancient Power,egg,0,scarlet-violet
Charizard,Heat Wave,level-up,1,scarlet-violet
Charizard,Heat Wave,machine,0,scarlet-violet
Charizard,Will O Wisp,machine,0,scarlet-violet
Charizard,Facade,machine,0,scarlet-violet
Charizard,Focus Punch,machine,0,scarlet-violet
Charizard,Helping Hand,machine,0,scarlet-violet
Charizard,Brick Break,machine,0,scarlet-violet
Charizard,Blast Burn,machine,0,scarlet-violet
Charizard,Weather Ball,machine,0,scarlet-violet
Charizard,Air Cutter,machine,0,scarlet-violet
Charizard,Overheat,machine,0,scarlet-violet
Charizard,Rock Tomb,machine,0,scarlet-violet
Charizard,Aerial Ace,machine,0,scarlet-violet
Charizard,Dragon Claw,level-up,1,scarlet-violet
Charizard,Dragon Claw,machine,0,scarlet-violet
Charizard,Dragon Dance,machine,0,scarlet-violet
Charizard,Fling,machine,0,scarlet-violet
Charizard,Flare Blitz,level-up,62,scarlet-violet
Charizard,Flare Blitz,machine,0,scarlet-violet
Charizard,Air Slash,level-up,0,scarlet-violet
Charizard,Air Slash,machine,0,scarlet-violet
Charizard,Dragon Pulse,machine,0,scarlet-violet
Charizard,Dragon Rush,egg,0,scarlet-violet
Charizard,Focus Blast,machine,0,scarlet-violet
Charizard,Giga Impact,machine,0,scarlet-violet
Charizard,Shadow Claw,machine,0,scarlet-violet
Charizard,Fire Fang,level-up,19,scarlet-violet
Charizard,Fire Fang,machine,0,scarlet-violet
Charizard,Flame Charge,machine,0,scarlet-violet
Charizard,Acrobatics,machine,0,scarlet-violet
Charizard,Inferno,level-up,54,scarlet-violet
Charizard,Fire Pledge,machine,0,scarlet-violet
Charizard,Bulldoze,machine,0,scarlet-violet
Charizard,Dragon Tail,egg,0,scarlet-violet
Charizard,Dragon Tail,machine,0,scarlet-violet
Charizard,Heat Crash,machine,0,scarlet-violet
Charizard,Hurricane,machine,0,scarlet-violet
Charizard,Breaking Swipe,machine,0,scarlet-violet
Charizard,Scorching Sands,machine,0,scarlet-violet
Charizard,Tera Blast,machine,0,scarlet-violet
Charizard,Dragon Cheer,machine,0,scarlet-violet
Charizard,Temper Flare,machine,0,scarlet-violet
Mega Charizard X,Fire Punch,tutor,0,ultra-sun-ultra-moon
Mega Charizard X,Thunder Punch,tutor,0,ultra-sun-ultra-moon
Mega Charizard X,Scratch,level-up,1,ultra-sun-ultra-moon
Mega Charizard X,Swords Dance,machine,0,ultra-sun-ultra-moon
Mega Charizard X,Wing Attack,level-up,0,ultra-sun-ultra-moon
Mega Charizard X,Fly,machine,0,ultra-sun-ultra-moon
Mega Charizard X,Growl,level-up,1,ultra-sun-ultra-moon
Mega Charizard X,Roar,machine,0,ultra-sun-ultra-moon
Mega Charizard X,Ember,level-up,1,ultra-sun-ultra-moon
Mega Charizard X,Flamethrower,level-up,47,ultra-sun-ultra-moon
Mega Charizard X,Flamethrower,machine,0,ultra-sun-ultra-moon
Mega Charizard X,Hyper Beam,machine,0,ultra-sun-ultra-moon
Mega Charizard X,Solar Beam,machine,0,ultra-sun-ultra-moon
Mega Charizard X,Dragon Rage,level-up,17,ultra-sun-ultra-moon
Mega Charizard X,Fire Spin,level-up,56,ultra-sun-ultra-moon
Mega Charizard X,Earthquake,machine,0,ultra-sun-ultra-moon
Mega Charizard X,Toxic,machine,0,ultra-sun-ultra-moon
Mega Charizard X,Double Team,machine,0,ultra-sun-ultra-moon
Mega Charizard X,Smokescreen,level-up,10,ultra-sun-ultra-moon
Mega Charizard X,Fire Blast,machine,0,ultra-sun-ultra-moon
Mega Charizard X,Rest,machine,0,ultra-sun-ultra-moon
Mega Charizard X,Rock Slide,machine,0,ultra-sun-ultra-moon
Mega Charizard X,Slash,level-up,41,ultra-sun-ultra-moon
Mega Charizard X,Substitute,machine,0,ultra-sun-ultra-moon
Mega Charizard X,Snore,tutor,0,ultra-sun-ultra-moon
Mega Charizard X,Protect,machine,0,ultra-sun-ultra-moon
Mega Charizard X,Scary Face,level-up,21,ultra-sun-ultra-moon
Mega Charizard X,Outrage,tutor,0,ultra-sun-ultra-moon
Mega Charizard X,Swagger,machine,0,ultra-sun-ultra-moon
Mega Charizard X,Steel Wing,machine,0,ultra-sun-ultra-moon
Mega Charizard X,Attract,machine,0,ultra-sun-ultra-moon
Mega Charizard X,Sleep Talk,machine,0,ultra-sun-ultra-moon
Mega Charizard X,Return,machine,0,ultra-sun-ultra-moon
Mega Charizard X,Frustration,machine,0,ultra-sun-ultra-moon
Mega Charizard X,Iron Tail,tutor,0,ultra-sun-ultra-moon
Mega Charizard X,Hidden Power,machine,0,ultra-sun-ultra-moon
Mega Charizard X,Sunny Day,machine,0,ultra-sun-ultra-moon
Mega Charizard X,Heat Wave,level-up,1,ultra-sun-ultra-moon
Mega Charizard X,Heat Wave,tutor,0,ultra-sun-ultra-moon
Mega Charizard X,Will O Wisp,machine,0,ultra-sun-ultra-moon
Mega Charizard X,Facade,machine,0,ultra-sun-ultra-moon
Mega Charizard X,Focus Punch,tutor,0,ultra-sun-ultra-moon
Mega Charizard X,Brick Break,machine,0,ultra-sun-ultra-moon
Mega Charizard X,Blast Burn,tutor,0,ultra-sun-ultra-moon
Mega Charizard X,Overheat,machine,0,ultra-sun-ultra-moon
Mega Charizard X,Rock Tomb,machine,0,ultra-sun-ultra-moon
Mega Charizard X,Aerial Ace,machine,0,ultra-sun-ultra-moon
Mega Charizard X,Dragon Claw,level-up,1,ultra-sun-ultra-moon
Mega Charizard X,Dragon Claw,machine,0,ultra-sun-ultra-moon
Mega Charizard X,Roost,machine,0,ultra-sun-ultra-moon
Mega Charizard X,Tailwind,tutor,0,ultra-sun-ultra-moon
Mega Charizard X,Fling,machine,0,ultra-sun-ultra-moon
Mega Charizard X,Flare Blitz,level-up,1,ultra-sun-ultra-moon
Mega Charizard X,Air Slash,level-up,1,ultra-sun-ultra-moon
