pokemon,tier,usage_pct,raw_count,rank
Primarina,Ubers,0.7476,2977,121
Weezing-Galar,Ubers,0.7331,2552,122
Quaquaval,Ubers,0.7243,3409,123
Iron Moth,Ubers,0.7219,2720,124
Clefable,Ubers,0.7096,2659,125
Salamence,Ubers,0.6646,2791,126
Araquanid,Ubers,0.6587,2599,127
Cloyster,Ubers,0.6563,2960,128
Cresselia,Ubers,0.6358,1619,129
Arceus-Flying,Ubers,0.6328,1519,130
Arceus-Dark,Ubers,0.6242,1295,131
Metagross,Ubers,0.6209,3740,132
Venusaur,Ubers,0.6126,3182,133
Whimsicott,Ubers,0.5827,2272,134
Lilligant-Hisui,Ubers,0.5755,1730,135
Umbreon,Ubers,0.5651,2788,136
Mandibuzz,Ubers,0.5548,1554,137
Chansey,Ubers,0.5395,1901,138
Charizard,Ubers,0.502,3382,139
Indeedee,Ubers,0.4998,1356,140
Staraptor,Ubers,0.4963,1564,141
Solgaleo,Ubers,0.496,1703,142
Sinistcha,Ubers,0.492,1184,143
Armarouge,Ubers,0.4844,2236,144
Arceus-Steel,Ubers,0.4784,1212,145
Dachsbun,Ubers,0.4765,1557,146
Porygon2,Ubers,0.4693,1748,147
Quagsire,Ubers,0.4524,1557,148
Chandelure,Ubers,0.4467,2057,149
Goodra-Hisui,Ubers,0.4348,1937,150
Hydreigon,Ubers,0.4346,1956,151
Gastrodon,Ubers,0.4339,1513,152
Tinkaton,Ubers,0.4188,2220,153
Basculegion,Ubers,0.4099,1405,154
Breloom,Ubers,0.4073,2061,155
Mew,Ubers,0.4059,2003,156
Donphan,Ubers,0.4053,1705,157
Swampert,Ubers,0.4044,2706,158
Deoxys-Defense,Ubers,0.3965,1816,159
Hydrapple,Ubers,0.3927,1757,160
Lurantis,Ubers,0.3921,1006,161
Blastoise,Ubers,0.3858,1875,162
Golem-Alola,Ubers,0.3854,873,163
Slowbro-Galar,Ubers,0.3792,1820,164
Lucario,Ubers,0.3676,3377,165
Arceus-Poison,Ubers,0.365,987,166
Hoopa-Unbound,Ubers,0.3567,1401,167
Pawmot,Ubers,0.3526,1639,168
Zamazenta,Ubers,0.352,1037,169
Brute Bonnet,Ubers,0.3505,1055,170
Vaporeon,Ubers,0.3491,1406,171
Orthworm,Ubers,0.3388,1279,172
Infernape,Ubers,0.3351,2308,173
Volcanion,Ubers,0.3321,1296,174
Regidrago,Ubers,0.3221,1298,175
Weavile,Ubers,0.3173,1671,176
Slowking,Ubers,0.3156,1007,177
Scream Tail,Ubers,0.313,935,178
Kilowattrel,Ubers,0.3126,1460,179
Arceus-Grass,Ubers,0.3051,768,180
Snorlax,Ubers,0.298,2221,181
Iron Hands,Ubers,0.2932,1455,182
Grafaiai,Ubers,0.2915,1001,183
Iron Crown,Ubers,0.2889,804,184
Torterra,Ubers,0.2872,1606,185
Gyarados,Ubers,0.287,1711,186
Lokix,Ubers,0.2869,1498,187
Jirachi,Ubers,0.2847,1431,188
Krookodile,Ubers,0.2832,1911,189
Gothitelle,Ubers,0.2829,937,190
Haxorus,Ubers,0.2755,1849,191
Enamorus-Therian,Ubers,0.2741,609,192
Milotic,Ubers,0.272,1532,193
Sylveon,Ubers,0.2707,1416,194
Gardevoir,Ubers,0.2703,2324,195
Indeedee-F,Ubers,0.2689,967,196
Enamorus,Ubers,0.2668,1226,197
Gallade,Ubers,0.2626,1471,198
Manaphy,Ubers,0.2619,802,199
Klefki,Ubers,0.2528,820,200
Mamoswine,Ubers,0.2447,962,201
Avalugg-Hisui,Ubers,0.2418,567,202
Vikavolt,Ubers,0.2397,1106,203
Carbink,Ubers,0.2372,663,204
Moltres-Galar,Ubers,0.2367,1089,205
Tornadus,Ubers,0.233,613,206
Barraskewda,Ubers,0.2314,1028,207
Latios,Ubers,0.231,1116,208
Sceptile,Ubers,0.2297,1842,209
Kommo-o,Ubers,0.2253,1559,210
Muk-Alola,Ubers,0.225,1048,211
Zacian,Ubers,0.2224,638,212
Arceus-Psychic,Ubers,0.2223,511,213
Wo-Chien,Ubers,0.2214,729,214
Kleavor,Ubers,0.2206,1197,215
Arcanine-Hisui,Ubers,0.215,1579,216
Kyurem,Ubers,0.214,709,217
Diancie,Ubers,0.2119,791,218
Arceus-Rock,Ubers,0.2112,387,219
Lycanroc-Dusk,Ubers,0.2112,959,220
Thundurus,Ubers,0.208,576,221
Hawlucha,Ubers,0.208,1317,222
Empoleon,Ubers,0.2055,1195,223
Keldeo,Ubers,0.202,542,224
Fezandipiti,Ubers,0.1998,714,225
Porygon-Z,Ubers,0.1961,1031,226
Magnezone,Ubers,0.1937,852,227
Chesnaught,Ubers,0.1894,728,228
Scrafty,Ubers,0.189,813,229
Revavroom,Ubers,0.1855,677,230
Ogerpon-Cornerstone,Ubers,0.1854,713,231
Iron Boulder,Ubers,0.1853,627,232
Conkeldurr,Ubers,0.1845,970,233
Dusclops,Ubers,0.1831,836,234
Toxtricity,Ubers,0.1825,1362,235
Pikachu,Ubers,0.1822,1446,236
Lapras,Ubers,0.1786,1047,237
Arboliva,Ubers,0.1732,1010,238
Comfey,Ubers,0.1719,1424,239
Dragalge,Ubers,0.1705,683,240
Regirock,Ubers,0.1704,821,241
Latias,Ubers,0.1652,1000,242
Arcanine,Ubers,0.164,919,243
Salazzle,Ubers,0.1626,829,244
Drifblim,Ubers,0.1566,719,245
Registeel,Ubers,0.155,816,246
Vivillon,Ubers,0.1538,1301,247
Typhlosion-Hisui,Ubers,0.1535,799,248
Kingdra,Ubers,0.1513,887,249
Eiscue,Ubers,0.1474,618,250
Noivern,Ubers,0.1462,804,251
Decidueye,Ubers,0.1445,1107,252
Deoxys,Ubers,0.1426,490,253
Slither Wing,Ubers,0.1426,901,254
Sandy Shocks,Ubers,0.1392,712,255
Minior,Ubers,0.1372,718,256
Froslass,Ubers,0.1355,674,257
Goodra,Ubers,0.1351,802,258
Electivire,Ubers,0.1347,1000,259
Ludicolo,Ubers,0.1346,824,260
Zapdos-Galar,Ubers,0.1343,646,261
Hippowdon,Ubers,0.1342,781,262
Thundurus-Therian,Ubers,0.1336,485,263
Sudowoodo,Ubers,0.133,439,264
Hitmonlee,Ubers,0.1324,939,265
Regice,Ubers,0.1306,687,266
Dugtrio,Ubers,0.1301,447,267
Ambipom,Ubers,0.1299,736,268
Moltres,Ubers,0.1272,593,269
Frosmoth,Ubers,0.1243,542,270
Zoroark,Ubers,0.1233,767,271
Heracross,Ubers,0.1217,1004,272
Tornadus-Therian,Ubers,0.1205,676,273
Regigigas,Ubers,0.12,614,274
Flygon,Ubers,0.1197,890,275
Rabsca,Ubers,0.1196,482,276
Entei,Ubers,0.1194,424,277
Jolteon,Ubers,0.1154,815,278
Feraligatr,Ubers,0.115,662,279
Arceus-Fighting,Ubers,0.1134,392,280
Bisharp,Ubers,0.1131,666,281
Inteleon,Ubers,0.1124,978,282
Bastiodon,Ubers,0.1103,415,283
Tentacruel,Ubers,0.1102,497,284
Arceus-Ice,Ubers,0.1081,361,285
Okidogi,Ubers,0.108,452,286
Abomasnow,Ubers,0.1074,723,287
Politoed,Ubers,0.1069,768,288
Spidops,Ubers,0.106,378,289
Iron Jugulis,Ubers,0.1054,519,290
Eelektross,Ubers,0.1043,819,291
Murkrow,Ubers,0.1028,466,292
Ninetales,Ubers,0.1027,600,293
Decidueye-Hisui,Ubers,0.1027,542,294
Sandslash-Alola,Ubers,0.1026,387,295
Reuniclus,Ubers,0.1024,711,296
Tsareena,Ubers,0.1018,485,297
Leavanny,Ubers,0.1017,436,298
Bronzong,Ubers,0.1004,490,299
Malamar,Ubers,0.0968,712,300
Rhyperior,Ubers,0.0961,487,301
Typhlosion,Ubers,0.0953,596,302
Cetitan,Ubers,0.0948,647,303
Emboar,Ubers,0.0946,443,304
Avalugg,Ubers,0.094,378,305
Scyther,Ubers,0.0931,492,306
Cinccino,Ubers,0.0929,743,307
Ogerpon,Ubers,0.0917,295,308
Gothorita,Ubers,0.0917,241,309
Scovillain,Ubers,0.091,484,310
Appletun,Ubers,0.0896,322,311
Pincurchin,Ubers,0.0889,600,312
Arceus-Dragon,Ubers,0.0885,431,313
Rotom-Heat,Ubers,0.0862,642,314
Toxicroak,Ubers,0.086,497,315
Mienshao,Ubers,0.084,654,316
Arceus-Bug,Ubers,0.0832,219,317
Mudsdale,Ubers,0.0824,562,318
Slowbro,Ubers,0.0805,570,319
Ariados,Ubers,0.08,408,320
Toedscruel,Ubers,0.0786,397,321
Yanmega,Ubers,0.0785,497,322
Electrode-Hisui,Ubers,0.0781,283,323
Crawdaunt,Ubers,0.0764,434,324
Overqwil,Ubers,0.0759,485,325
Articuno-Galar,Ubers,0.0758,336,326
Trevenant,Ubers,0.0747,446,327
Exeggutor,Ubers,0.0746,350,328
Uxie,Ubers,0.0745,403,329
Luxray,Ubers,0.0734,546,330
Zangoose,Ubers,0.0733,478,331
Azelf,Ubers,0.0731,313,332
Cottonee,Ubers,0.0726,356,333
Slaking,Ubers,0.0701,427,334
Leafeon,Ubers,0.0688,409,335
Braviary-Hisui,Ubers,0.0685,589,336
Lanturn,Ubers,0.0673,356,337
Masquerain,Ubers,0.0673,544,338
Vileplume,Ubers,0.0669,458,339
Raikou,Ubers,0.0669,384,340
Raichu-Alola,Ubers,0.0668,553,341
Dewgong,Ubers,0.0662,253,342
Glaceon,Ubers,0.0638,391,343
Bellibolt,Ubers,0.0626,507,344
Ampharos,Ubers,0.0615,385,345
Rotom-Frost,Ubers,0.0611,229,346
Spiritomb,Ubers,0.0601,485,347
Zarude,Ubers,0.06,392,348
Qwilfish-Hisui,Ubers,0.0591,166,349
Shroodle,Ubers,0.0584,123,350
Riolu,Ubers,0.0579,217,351
Meloetta,Ubers,0.0571,506,352
Nosepass,Ubers,0.0571,133,353
Iron Thorns,Ubers,0.0566,378,354
Articuno,Ubers,0.0561,354,355
Mismagius,Ubers,0.0557,279,356
Houndstone,Ubers,0.0555,230,357
Florges,Ubers,0.0552,287,358
Cobalion,Ubers,0.0548,243,359
Wyrdeer,Ubers,0.0545,179,360
Suicune,Ubers,0.0534,340,361
Golurk,Ubers,0.0529,525,362
Exeggutor-Alola,Ubers,0.0528,294,363
Flareon,Ubers,0.0515,373,364
Dudunsparce,Ubers,0.0514,274,365
Magcargo,Ubers,0.0512,210,366
Munkidori,Ubers,0.0508,286,367
Iron Leaves,Ubers,0.0502,309,368
Farigiraf,Ubers,0.0501,232,369
Tauros-Paldea-Blaze,Ubers,0.0498,269,370
Cramorant,Ubers,0.0498,708,371
Medicham,Ubers,0.0496,683,372
Shiftry,Ubers,0.0491,281,373
Raichu,Ubers,0.0489,422,374
Carkol,Ubers,0.0487,139,375
Duraludon,Ubers,0.0485,229,376
Muk,Ubers,0.0481,184,377
Necrozma,Ubers,0.0478,273,378
Dipplin,Ubers,0.0476,86,379
Basculegion-F,Ubers,0.046,211,380
Weezing,Ubers,0.0443,182,381
Brambleghast,Ubers,0.0434,305,382
Alcremie,Ubers,0.0425,492,383
Hariyama,Ubers,0.0423,275,384
Rampardos,Ubers,0.0422,267,385
Honchkrow,Ubers,0.042,446,386
Morpeko,Ubers,0.042,313,387
Tauros-Paldea-Aqua,Ubers,0.0417,141,388
Primeape,Ubers,0.0412,380,389
Illumise,Ubers,0.041,357,390
Delphox,Ubers,0.041,411,391
Tatsugiri,Ubers,0.0407,225,392
Mabosstiff,Ubers,0.0404,144,393
Falinks,Ubers,0.04,322,394
Cryogonal,Ubers,0.0397,304,395
Lycanroc,Ubers,0.0395,176,396
Altaria,Ubers,0.0385,380,397
Floatzel,Ubers,0.0385,175,398
Dusknoir,Ubers,0.0382,383,399
Flamigo,Ubers,0.0377,224,400
Meowstic,Ubers,0.037,255,401
Tropius,Ubers,0.0365,291,402
Clawitzer,Ubers,0.0355,405,403
Poliwrath,Ubers,0.0352,388,404
Lilligant,Ubers,0.035,255,405
Glastrier,Ubers,0.0341,142,406
Terrakion,Ubers,0.0341,103,407
Palossand,Ubers,0.0336,212,408
Pineco,Ubers,0.0334,124,409
Probopass,Ubers,0.0332,164,410
Houndoom,Ubers,0.0325,282,411
Golem,Ubers,0.0324,177,412
Crabominable,Ubers,0.0322,273,413
Jumpluff,Ubers,0.03,174,414
Venomoth,Ubers,0.0299,447,415
Hitmonchan,Ubers,0.0297,156,416
Beartic,Ubers,0.0291,199,417
Magmortar,Ubers,0.0288,194,418
Komala,Ubers,0.0277,515,419
Sawsbuck,Ubers,0.0271,219,420
Dunsparce,Ubers,0.0271,237,421
Drednaw,Ubers,0.027,176,422
Banette,Ubers,0.0268,215,423
Meganium,Ubers,0.0267,314,424
Oricorio-Pom-Pom,Ubers,0.0252,192,425
Klawf,Ubers,0.0251,250,426
Victreebel,Ubers,0.0248,225,427
Coalossal,Ubers,0.0247,229,428
Rotom-Mow,Ubers,0.0244,200,429
Braviary,Ubers,0.0239,226,430
Pyroar,Ubers,0.0235,161,431
Persian,Ubers,0.0233,115,432
Starly,Ubers,0.0233,213,433
Bellossom,Ubers,0.0233,153,434
Gogoat,Ubers,0.0232,186,435
Tauros,Ubers,0.0232,99,436
Rhydon,Ubers,0.023,178,437
Lycanroc-Midnight,Ubers,0.0229,275,438
Camerupt,Ubers,0.0219,150,439
Seedot,Ubers,0.021,69,440
Volbeat,Ubers,0.021,150,441
Hitmontop,Ubers,0.0209,314,442
Pignite,Ubers,0.0208,441,443
Veluza,Ubers,0.0207,180,444
Furret,Ubers,0.0206,116,445
Arbok,Ubers,0.0203,180,446
Toucannon,Ubers,0.0203,253,447
Oricorio-Sensu,Ubers,0.0201,141,448
Dedenne,Ubers,0.0198,147,449
Finizen,Ubers,0.0198,109,450
Sandaconda,Ubers,0.0194,141,451
Cacturne,Ubers,0.019,416,452
Zebstrika,Ubers,0.019,163,453
Delibird,Ubers,0.0187,242,454
Eevee,Ubers,0.0187,143,455
Squawkabilly,Ubers,0.0176,183,456
Noctowl,Ubers,0.0173,138,457
Glimmet,Ubers,0.0171,47,458
Crocalor,Ubers,0.0166,86,459
Samurott,Ubers,0.0166,147,460
Persian-Alola,Ubers,0.0163,145,461
Copperajah,Ubers,0.016,97,462
Shaymin,Ubers,0.0155,85,463
Haunter,Ubers,0.0154,116,464
Bombirdier,Ubers,0.015,133,465
Dodrio,Ubers,0.0146,132,466
Qwilfish,Ubers,0.0145,109,467
Golduck,Ubers,0.0143,152,468
Ursaring,Ubers,0.014,99,469
Bruxish,Ubers,0.0135,76,470
Oricorio-Pa'u,Ubers,0.0135,54,471
Virizion,Ubers,0.0131,87,472
Wigglytuff,Ubers,0.0129,246,473
Hatenna,Ubers,0.0125,33,474
Electrode,Ubers,0.0124,135,475
Piloswine,Ubers,0.0122,52,476
Magmar,Ubers,0.0121,88,477
Hattrem,Ubers,0.0119,39,478
Solosis,Ubers,0.0119,33,479
Mightyena,Ubers,0.0118,97,480
Hypno,Ubers,0.0118,79,481
Basculin,Ubers,0.0115,94,482
Gloom,Ubers,0.0108,34,483
Rotom,Ubers,0.0108,64,484
Gumshoos,Ubers,0.0106,56,485
Skuntank,Ubers,0.0105,190,486
Whiscash,Ubers,0.0104,124,487
Venonat,Ubers,0.0104,47,488
Pichu,Ubers,0.0104,66,489
Clefairy,Ubers,0.0103,88,490
Great Tusk,OU,31.53,517552,1
Kingambit,OU,24.3254,350152,2
Gholdengo,OU,23.8957,355393,3
Zamazenta,OU,22.9316,234864,4
Ogerpon-Wellspring,OU,19.1133,265194,5
Dragonite,OU,19.0595,287043,6
Iron Valiant,OU,15.7044,251233,7
Kyurem,OU,15.091,169880,8
Dragapult,OU,14.9282,305539,9
Raging Bolt,OU,14.2931,206239,10
Slowking-Galar,OU,14.0828,251807,11
Hatterene,OU,14.0288,225463,12
Ting-Lu,OU,14.0004,153822,13
Corviknight,OU,13.1315,244780,14
Landorus-Therian,OU,12.9174,196544,15
Glimmora,OU,12.8898,185558,16
Samurott-Hisui,OU,11.9837,177611,17
Iron Treads,OU,11.7642,170146,18
Cinderace,OU,10.9977,188551,19
Ceruledge,OU,10.8321,176230,20
Darkrai,OU,9.3978,161041,21
Pecharunt,OU,9.3016,140083,22
Gliscor,OU,9.2017,227829,23
Iron Moth,OU,9.027,151267,24
Deoxys-Speed,OU,8.9583,100507,25
Alomomola,OU,8.3956,177221,26
Rillaboom,OU,7.4294,151681,27
Enamorus,OU,7.304,98687,28
Zapdos,OU,6.6821,144894,29
Tornadus-Therian,OU,6.2322,72906,30
Weezing-Galar,OU,6.2072,86868,31
Clefable,OU,6.1399,114777,32
Garganacl,OU,6.0929,150240,33
Primarina,OU,5.4717,115153,34
Moltres,OU,5.4328,93717,35
Dondozo,OU,5.422,87008,36
Tyranitar,OU,5.2901,110289,37
Walking Wake,OU,5.2521,125702,38
Iron Crown,OU,4.7243,72048,39
Heatran,OU,4.5952,121797,40
Scizor,OU,4.3131,155652,41
Garchomp,OU,4.0833,123502,42
Blissey,OU,4.064,63766,43
Ursaluna,OU,4.0071,77103,44
Excadrill,OU,3.8903,81190,45
Clodsire,OU,3.632,70799,46
Araquanid,OU,3.4337,53640,47
Hydrapple,OU,3.4042,70849,48
Toxapex,OU,3.3254,75118,49
Volcanion,OU,3.0821,54550,50
Moltres-Galar,OU,3.0388,32001,51
Ogerpon,OU,2.9462,29833,52
Cresselia,OU,2.9411,40257,53
Hoopa-Unbound,OU,2.7371,53099,54
Meowscarada,OU,2.6395,98441,55
Ninetales,OU,2.5424,52435,56
Ninetales-Alola,OU,2.5296,64582,57
Weavile,OU,2.332,52791,58
Pelipper,OU,2.2894,73948,59
Torkoal,OU,2.2679,65976,60
Ribombee,OU,2.2051,36962,61
Iron Hands,OU,2.1645,55574,62
Sinistcha,OU,2.0644,41237,63
Serperior,OU,1.9972,61650,64
Latios,OU,1.9705,40847,65
Skarmory,OU,1.8841,35569,66
Tinkaton,OU,1.8531,38007,67
Ogerpon-Cornerstone,OU,1.823,30841,68
Manaphy,OU,1.723,18076,69
Lokix,OU,1.7229,49139,70
Keldeo,OU,1.7044,27026,71
Blaziken,OU,1.5577,62778,72
Porygon2,OU,1.4791,37237,73
Venusaur,OU,1.4435,41709,74
Hawlucha,OU,1.3861,27288,75
Slither Wing,OU,1.3228,28452,76
Rotom-Wash,OU,1.2652,51744,77
Skeledirge,OU,1.2302,49254,78
Indeedee,OU,1.2143,24338,79
Mandibuzz,OU,1.1863,18329,80
Barraskewda,OU,1.1356,31374,81
Chesnaught,OU,1.1116,20145,82
Polteageist,OU,1.0501,27348,83
Umbreon,OU,1.0438,25693,84
Okidogi,OU,1.0231,18834,85
Maushold,OU,1.0016,26973,86
Latias,OU,0.9914,21305,87
Greninja,OU,0.9359,58414,88
Smeargle,OU,0.8925,8802,89
Azumarill,OU,0.7199,22292,90
Comfey,OU,0.6936,18541,91
Quaquaval,OU,0.6843,44745,92
Goodra-Hisui,OU,0.6421,32979,93
Iron Boulder,OU,0.6367,21143,94
Armarouge,OU,0.6195,18803,95
Amoonguss,OU,0.5881,17497,96
Thundurus-Therian,OU,0.5828,22672,97
Arcanine-Hisui,OU,0.573,30122,98
Grimmsnarl,OU,0.5729,39010,99
Talonflame,OU,0.539,17984,100
Mimikyu,OU,0.5383,27297,101
Fezandipiti,OU,0.5163,12458,102
Pawmot,OU,0.4998,10257,103
Reuniclus,OU,0.487,11911,104
Mamoswine,OU,0.4556,16386,105
Hydreigon,OU,0.4464,20798,106
Klefki,OU,0.4228,7440,107
Cloyster,OU,0.3915,21548,108
Enamorus-Therian,OU,0.3834,5979,109
Magnezone,OU,0.3783,14650,110
Toxicroak,OU,0.3754,12969,111
Lilligant-Hisui,OU,0.3712,17297,112
Frosmoth,OU,0.3628,11790,113
Breloom,OU,0.3266,12986,114
Zoroark-Hisui,OU,0.3256,30890,115
Kommo-o,OU,0.3232,20785,116
Sandy Shocks,OU,0.3227,14742,117
Vaporeon,OU,0.3103,9902,118
Slaking,OU,0.2945,4692,119
Muk-Alola,OU,0.2812,11040,120
Jolteon,OU,0.2759,15657,121
Incineroar,OU,0.2742,26365,122
Bronzong,OU,0.2637,15521,123
Iron Jugulis,OU,0.2562,6067,124
Jirachi,OU,0.2526,12838,125
Tentacruel,OU,0.2505,9885,126
Salamence,OU,0.2472,18245,127
Gengar,OU,0.2415,32626,128
Golduck,OU,0.2369,2221,129
Deoxys-Defense,OU,0.2321,8789,130
Conkeldurr,OU,0.2303,17631,131
Charizard,OU,0.2287,18606,132
Haxorus,OU,0.2273,18132,133
Empoleon,OU,0.2161,13932,134
Toucannon,OU,0.2147,6531,135
Sandaconda,OU,0.2137,2539,136
Kingdra,OU,0.2135,17434,137
Glastrier,OU,0.2131,5129,138
Pincurchin,OU,0.2022,6162,139
Zarude,OU,0.2016,7683,140
Zapdos-Galar,OU,0.1967,10166,141
Cobalion,OU,0.1954,5808,142
Meloetta,OU,0.1932,4543,143
Slowking,OU,0.1872,12407,144
Gyarados,OU,0.1786,23727,145
Ditto,OU,0.1755,13774,146
Overqwil,OU,0.1753,6668,147
Thundurus,OU,0.1687,6938,148
Diancie,OU,0.1654,7131,149
Mew,OU,0.1625,14576,150
Staraptor,OU,0.1574,9834,151
Revavroom,OU,0.1532,4853,152
Metagross,OU,0.1525,27080,153
Crawdaunt,OU,0.1506,9609,154
Krookodile,OU,0.1483,9856,155
Slowbro,OU,0.1447,7592,156
Scream Tail,OU,0.1416,5427,157
Rotom-Heat,OU,0.1415,7401,158
Regidrago,OU,0.1387,10607,159
Espeon,OU,0.1333,15889,160
Necrozma,OU,0.1324,3587,161
Gallade,OU,0.1289,10903,162
Basculegion,OU,0.1275,9303,163
Leafeon,OU,0.1255,4808,164
Entei,OU,0.1247,5068,165
Typhlosion-Hisui,OU,0.1206,8632,166
Blastoise,OU,0.1164,17915,167
Kleavor,OU,0.1126,15423,168
Galvantula,OU,0.1109,19370,169
Porygon-Z,OU,0.1107,14566,170
Forretress,OU,0.1087,14299,171
Whimsicott,OU,0.1044,12025,172
Torterra,OU,0.1043,9274,173
Hippowdon,OU,0.1017,9141,174
Gardevoir,OU,0.0987,17330,175
Dudunsparce,OU,0.0976,3683,176
Sylveon,OU,0.0947,11854,177
Toxtricity,OU,0.0943,10398,178
Decidueye-Hisui,OU,0.094,5684,179
Drednaw,OU,0.0921,2795,180
Raichu-Alola,OU,0.0899,2922,181
Trevenant,OU,0.0863,5170,182
Yanmega,OU,0.0855,6217,183
Milotic,OU,0.0843,15752,184
Politoed,OU,0.0805,7564,185
